identifier,commonName,description,website,foundingDate,parentOrganization
shardingsphere,Apache ShardingSphere,"a database clustering system providing data sharding, distributed transactions, and distributed database management",http://shardingsphere.apache.org,04/2020,asf
shenyu,Apache ShenYu,"a Java native API Gateway for service proxy, protocol conversion and API governance",http://shenyu.apache.org,07/2022,asf
shiro,Apache Shiro,Powerful and easy-to-use application security framework,http://shiro.apache.org/,09/2010,asf
singa,Apache SINGA,a distributed deep learning platform,http://singa.apache.org/,10/2019,asf
sis,Apache SIS,Spatial Information System,http://sis.apache.org/,09/2012,asf
skywalking,Apache SkyWalking,application performance management and monitoring (APM),http://skywalking.apache.org/,04/2019,asf
sling,Apache Sling,Web Framework for JCR Content Repositories,http://sling.apache.org/,06/2009,asf
solr,Apache Solr,highly scalable distributed document search and analytics,http://solr.apache.org,02/2021,asf
spamassassin,Apache SpamAssassin,Mail filter to identify spam,http://spamassassin.apache.org/,06/2004,asf
spark,Apache Spark,Fast and general engine for large-scale data processing,http://spark.apache.org/,02/2014,asf
steve,Apache Steve,Python based single transferable vote software system,http://steve.apache.org/,07/2012,asf
storm,Apache Storm,"Distributed, real-time computation system",http://storm.apache.org/,09/2014,asf
streampipes,Apache StreamPipes,"a self-service Industrial IoT toolbox which enables non-technical users to connect, analyze and explore IoT data streams",http://streampipes.apache.org,11/2022,asf
streams,Apache Streams,interoperability of online profiles and activity feeds,http://streams.apache.org/,07/2017,asf
struts,Apache Struts,Model 2 framework for building Java web applications,http://struts.apache.org/,03/2004,asf
submarine,Apache Submarine,"allowing infrastructure engineers and data scientists to build deep learning applications (TensorFlow, PyTorch, etc.) end to end on cluster management platforms (like YARN/K8s)",http://submarine.apache.org/,10/2019,asf
subversion,Apache Subversion,Version Control,http://subversion.apache.org/,02/2010,asf
superset,Apache Superset,"data exploration, analysis, visualization, and dashboarding",http://superset.apache.org,11/2020,asf
synapse,Apache Synapse,Enterprise Service Bus and Mediation Framework,http://synapse.apache.org/,12/2007,asf
syncope,Apache Syncope,Managing digital identities in enterprise environments,http://syncope.apache.org/,11/2012,asf
systemds,Apache SystemDS,A machine learning platform optimal for big data,http://systemds.apache.org/,05/2017,asf
tapestry,Apache Tapestry,Component-based Java Web Application Framework,http://tapestry.apache.org/,02/2006,asf
tcl,Apache Tcl,Dynamic websites using TCL,http://tcl.apache.org/,07/2000,asf
tez,Apache Tez,High-performance and scalable distributed data processing framework,http://tez.apache.org/,07/2014,asf
thrift,Apache Thrift,Framework for scalable cross-language services development,http://thrift.apache.org/,10/2010,asf
tika,Apache Tika,Content Analysis and Detection Toolkit,http://tika.apache.org/,04/2010,asf
tinkerpop,Apache TinkerPop,A graph computing framework for both graph databases (OLTP) and graph analytic systems (OLAP),http://tinkerpop.apache.org/,05/2016,asf
tomcat,Apache Tomcat,A Java Servlet and JSP Container,http://tomcat.apache.org/,05/2005,asf
tomee,Apache TomEE,Java EE Web Profile built on Apache Tomcat,http://tomee.apache.org/,05/2007,asf
trafficcontrol,Apache Traffic Control,"building, monitoring, configuring, and provisioning a large scale content delivery network (CDN)",http://trafficcontrol.apache.org/,05/2018,asf
trafficserver,Apache Traffic Server,"A fast, scalable and extensible HTTP/1.1 compliant caching proxy server",http://trafficserver.apache.org/,04/2010,asf
turbine,Apache Turbine,A Java Servlet Web Application Framework and associated component library,http://turbine.apache.org/,05/2007,asf
tvm,Apache TVM,compilation of machine learning models to run on a wide range of hardware platforms,http://tvm.apache.org,11/2020,asf
uima,Apache UIMA,Framework and annotators for unstructured information analysis,http://uima.apache.org/,03/2010,asf
unomi,Apache Unomi,providing a reference implementation of the OASIS Customer Data Platform specification currently being worked on by the OASIS Context Server Technical Committee,http://unomi.apache.org/,02/2019,asf
vcl,Apache VCL,Virtual Computing Lab,http://vcl.apache.org/,06/2012,asf
velocity,Apache Velocity,A Java Templating Engine,http://velocity.apache.org/,10/2006,asf
ws,Apache Web Services,Projects related to Web Services,http://ws.apache.org/,01/2003,asf
whimsy,Apache Whimsy,Tools that help automate various administrative tasks or information lookup activities,http://whimsical.apache.org/,05/2015,asf
wicket,Apache Wicket,Component-based Java Web Application Framework.,http://wicket.apache.org/,06/2007,asf
xalan,Apache Xalan,XSLT processors in Java and C++,http://xalan.apache.org/,"10/2004, rebooted 07/2011, rebooted again 02/2019",asf
xerces,Apache Xerces,"XML parsers in Java, C++ and Perl",http://xerces.apache.org/,02/2005,asf
xmlgraphics,Apache XML Graphics,Conversion from XML to graphical output,http://xmlgraphics.apache.org/,10/2004,asf
yetus,Apache Yetus,Collection of libraries and tools that enable contribution and release processes for software projects,http://yetus.apache.org/,09/2015,asf
yunikorn,Apache YuniKorn,a standalone resource scheduler responsible for scheduling batch jobs and long-running services on large scale distributed systems running in on-premises environments as well as different public clouds,http://yunikorn.apache.org,03/2022,asf
zeppelin,Apache Zeppelin,A web-based notebook that enables interactive data analytics,http://zeppelin.apache.org/,05/2016,asf
zookeeper,Apache ZooKeeper,Centralized service for maintaining configuration information,http://zookeeper.apache.org/,11/2010,asf
legal,Apache Legal Affairs,,,03/2007,asf
security,Apache Security Team,Security Team,http://www.apache.org/security/,"09/2002, re-established 2006-09-20",asf
brand,Apache Brand Management,,,11/2009,asf
concom,Apache Conferences,,,,asf
diversity,Apache Diversity and Inclusion,,,05/2019,asf
fundraising,Apache Fundraising,Fund Raising,http://www.apache.org/foundation/contributing.html,11/2009,asf
marketingandpublicity,Apache Marketing and Publicity,public relations and for the press-related issues,http://www.apache.org/press/,,asf
tac,Apache Travel Assistance,Travel Assistance Committee,http://www.apache.org/travel/,01/2007; terminated 12/2007; re-est. 09/2008; => Pres. Ctte 10/2012,asf
dataprivacy,Apache Data Privacy,,,06/2021,asf
